Class	Rank	Thes	Engl	Phon	Chinese	Latin	Loglan	Xref	!Word	Lojban	definition (*=obj cpd, +n=1st case merge, -n=2nd case merge, Sn=set members, Pn=pairwise, @=merge but no cpd, ?=special merge, = =as needed)	Comments (c=ch,q=sh,x=zh,#=schwa,i=ee,y=bin,w=ng)
p		3.1.6,4.3.3	oats	ot	!mai	avena	mavji*		vena		$x_1$ is an oat plant	-xgu -vena for oat grain.
p		3.1.6,4.3.3	maize,corn	maiz	!u|qu|qu	far	mismi		quma		$x_1$ is a maize plant	-ftu -quma for the ear (seed assembly) or -xgu -quma for the edible grains.  In USA, corn means maize.
p		3.1.6,4.3.3	rice	rais	|gu		rismi		guri		$x_1$ is a rice plant	-xgu -guri for rice grain.
p		3.1.6,4.3.3	soya	soi#	/huaw!dou		sobde*		dwoi		$x_1$ is a soya plant	-smem -dwoi for soybean.
p		3.1.6,4.3.3	wheat	uit	!mai.-dz	trytyk.um	ritma		tymi		$x_1$ is a wheat plant	-xgu -tymi for wheat grain.
q		3.1.6,4.3.3	barley	barli	!da!mai	horda.um	bavmi*		vdi		$x_1$ is a barley plant	-xgu -vdi for barley grain.
p		3.1.6,4.3.4	coffee	kofi	-ka-fei		skafi		fiei		$x_1$ is a coffee plant	-smem -fiei for coffee bean, -psuw -fiei for coffee beverage. 
t		3.2.0	Body Parts	-	-	-			320			Generally X2 is the owner, e.g. claw of creature X2, but it can also be a superset, e.g. claw of paw X2.
t		3.2.1	Exterior of Head	-	-	-			321		body part $x_1:$ belongs to creature $x_2*$	
p		3.2.1	brow,forehead	brou	/cia!ne	frons	mebri*		cfro		$x_1$ is the brow or forehead of $x_2:*$	
p		3.2.1	head	hed	kaput	/tou	hedto		puou		$x_1$ is the head of $x_2:*$	Not for the business end of a machine.
p		3.2.1	face	fais	|lian	facy.es	fasli		faia		$x_1$ is the face of $x_2:*$	
p		3.2.1	nose	noz	/bi.-dz	nas.us	nazbi		zono		$x_1$ is the nose of $x_2:*$	
p		3.2.1	chin	cyn	!qia-ba	ment.um	tcina		cnyn		$x_1$ is the chin of $x_2:*$	
p		3.2.1	neck	nek	|jiw	kol.um	sneku		qkol		$x_1$ is the neck of $x_2:*$	
p		3.2.1	mouth	maut	|kou	os	manko		komu		$x_1$ is the mouth of $x_2:*$	
p		3.2.1	ear	ir	|er-duo	aur.ys	sorgu		drur		$x_1$ is an ear of $x_2:*$	
p		3.2.1	lip	lyp	|dzuei/cun	labr.um	zlupi		cuei		$x_1$ is a lip of $x_2:*$	
p	13	3.2.1	eye	ai	|ian-jiw	okul.us	menki		jaiw		$x_1$ is an eye of $x_2:*$	
t		3.2.2	Inside of Head	-	-	-			322		body part $x_1:$ belongs to creature $x_2*$	
p		3.2.2	brain	brain	|nau	kerebr.um	berna		brna		$x_1$ is the brain of $x_2:*$	
p		3.2.2	tongue	t#ng	/qe-tou	lingua	tongu		qtou		$x_1$ is the tongue of $x_2:*$	
p		3.2.2	skull	sk#l	/tou!gai|gu	kaput	tosku		toui		$x_1$ is the skull of $x_2:*$	
p		3.2.2	tooth	tut	/ia	dens	dante		vden		$x_1$ is a tooth of $x_2:*$	
p		3.2.2	throat,gullet	trot	/hou-luw	gula	goltu		toul		$x_1$ is the throat or gullet of $x_2:*$	
t		3.2.3	Arms and Legs	-	-	-			323		body part $x_1:$ belongs to creature $x_2*$	
p		3.2.3	leg	leg	|jiau	kr.us	tugle		jiau		$x_1$ is a leg of $x_2:*$	Includes front legs of non-primates.
p		3.2.3	claw,nail,talon	kla	|jua	ungu.ys	jgalu*		junu		$x_1$ is a claw of $x_2:*$	Includes primates' fingernails.
p		3.2.3	hand,paw	hand	|qou	man.us	hanco		qnou		$x_1$ is a hand of $x_2:*$	
p		3.2.3	thumb	t#m	|mu|jr	poleks	pudja		pomu		$x_1$ is a thumb of $x_2:*$	
p		3.2.3	shoulder,hip	qoldr	-jiaw|baw	humer.us	janco*		drme		$x_1$ is a shoulder of $x_2:*$	Use -drme -zon or -drme -fw -jiau for hip.
p		3.2.3	foot,paw	f#t	|jiau	ped.es	fitpi		pewe		$x_1$ is a foot of $x_2:*$	Includes front feet of non-primates.  Not a substitute for \gua{-jiaw} (leg).
p		3.2.3	arm	arm	|baw!bi	braki.um	barma		brai		$x_1$ is an arm of $x_2:*$	
p		3.2.3	finger,toe	fywgr	|qou|jr	dygyt.us	dedjo		xgyw		$x_1$ is a finger or toe of $x_2:*$	Use -xgyw -fw -pewe or -xgyw -fw -qnou to distinguish. 
t		3.2.4	Exterior of Body	-	-	-			324		body part $x_1:$ belongs to creature $x_2*$	
p		3.2.4	chest,thorax	cest	-siuw!bu	pekt.us	tceti		ceuw		$x_1$ is the chest of $x_2:*$	Thorax, where lungs are.
p		3.2.4	vulva	kunt	-in!tau	vulva	konbi		taun		$x_1$ is the vulva of $x_2:*$	
p		3.2.4	penis	penys	/iaw|jin	pen.ys	pingu		pnen		$x_1$ is the penis of $x_2:*$	
p		3.2.4	buttock	butak	-pi|gu	klun.ys	rirgu	gnan	gunu		$x_1$ is a buttock of $x_2:*$	
p		3.2.4	body	bodi	-qen|ti	korp.us	korti		qeni		$x_1$ is the body of $x_2:*$	
p		3.2.4	skin	skyn	/pi	kut.ys	skapi	kory	skyn		$x_1$ is the skin of $x_2:*$	Outer covering, also for nonliving X2.
p		3.2.4	belly,abdomen	beli	!fu!bu	venter	beldu	stma	vene		$x_1$ is the belly of $x_2:*$	The body section housing the digestive organs.
p		3.2.4	anus	anus	-gaw|men	an.us	gasno	gunu	gnan		$x_1$ is the anus of $x_2:*$	
p		3.2.4	teat,milk	tit	|ru/faw	uber	titfa		beru		$x_1$ is a teat or milk gland of $x_2:*$	
p		3.2.4,4.2.8,3.1.3	shell	qel	/k#	testa	calku*		kqel		$x_1$ is a shell of $x_2:*$	Also for nonliving X2.  A hard, rigid skin.
t		3.2.5	Inside Body	-	-	-			325		body part $x_1:$ belongs to creature $x_2*$	
p		3.2.5	stomach	st#m#k	!uei	stomac.us	beldu	vene	stma		$x_1$ is the stomach of $x_2:*$	Digestive organ.
p		3.2.5	bone	bon	|gu/tou	os	bongu		guou		$x_1$ is a bone of $x_2:*$	
p		3.2.5	vertebra,backbone	bakbon	|ji!ju	vertebra			jier		$x_1$ is a vertebra of $x_2:*$	
p		3.2.5	liver	lyvr	-gan	yekur	vrano		glyr		$x_1$ is the liver of $x_2:*$	
p		3.2.5	nerve	nrv	/s#n-jin		nervi		jini		$x_1$ is a nerve of $x_2:*$	
p		3.2.5	muscle	musl	-ji!rou	muskul.us	muslo		slmu		$x_1$ is a muscle of $x_2:*$	
p		3.2.5	intestine,gut	yntestn	/caw	vyskera	visra		vyer		$x_1$ is the intestine of $x_2:*$	
p		3.2.5	gonad	gonad	-q#w/x#!ci-guan		testi		xgon		$x_1$ is a gonad of $x_2:*$	
p		3.2.5	heart	hart	-sin	kor	karci		kror		$x_1$ is the heart of $x_2:*$	
p		3.2.5	uterus,womb	um	|dz-guw	uter.us	gutra*		zgum		$x_1$ is the uterus of $x_2:$	
p		3.2.5,3.3.3	blood,sap,juice	blud	|sie	sangu.ys	bludi		guie		(xo) $x_1$ is some blood of $x_2:*$	Includes plant sap.  -guie -ftu means fruit juice.
t		3.2.6	Body Parts of Nonhumans	-	-	-			326		body part $x_1:$ belongs to creature $x_2*$	
p		3.2.6	flower	flaur	-hua	flos	flora		flua		$x_1$ is a flower of $x_2:*$	
p		3.2.6	wing	uiw	!cr|baw	ala	tcela		glaw		$x_1$ is a wing of $x_2:*$	Includes mechanical X1.
p		3.2.6	leaf	lif	!qu!ie	foly.um	clife		fqui		$x_1$ is a leaf of $x_2:*$	
p		3.2.6	tail	tail	|uei	kauda	tilba		daue		$x_1$ is a tail of $x_2:*$	
p		3.2.6	stem	stem	!qu!gan	kaul.ys	staga		stem		$x_1$ is a stem of $x_2:*$	
p		3.2.6	feather	fetr	|u!mau	pena	pluma		tfen		$x_1$ is a feather of $x_2:*$	
p		3.2.6	root	rut	-g#n	radyks	ginru		dryr		$x_1$ is a root of $x_2:*$	
p		3.2.6	horn	horn	|jiao	kornu	horno		qkor		$x_1$ is a horn of $x_2:*$	
p		3.2.6	branch	branc	!qu-jr	ram.us	badjo		qura		$x_1$ is a branch of $x_2:*$	
t		3.2.7	Miscellaneous and Detachable Body Parts	-	-	-			327		body part $x_1:$ belongs to creature $x_2*$	
p		3.2.7	hair	hair	/mau	pyl.us	herfa	kory	fpyl		$x_1$ is a hair of $x_2:*$	
q		3.2.7,4.3.5	fruit,vegetable	frut	|guo.-dz	frukt.us	fruta	tsa	ftu		$x_1$ is a fruit of $x_2:*$	Many English vegetables are actually fruits.
p		3.2.7	organ,viscus,gut	orgn	!ci-guan	vysk.us	visra		gnor		$x_1$ is an organ of $x_2:$ for function (vo) $x_3+1$	-gnor -xyn means viscus or guts.
p		3.2.7	mind	maind	-qin	mens	smina		dmin		$x_1$ is the mind of $x_2:*$	
p		3.2.7,4.3.5	nut,nucleus,central	nut	/hu	nuks	krinu	juw	cunu		$x_1$ is a nut of $x_2:*$	Also used metaphorically for central parts like atomic nucleus.
p		3.2.7	self	self	!dz|ji	ypsy	selji		psel		$x_1$ is the self of $x_2:*$	
p		3.2.7	seed	sid	|juw.-dz	semen	sidza	xgu	smem		$x_1$ is a seed of $x_2:*$	
p		3.2.7	swelling,tumor	suelyw	/liou	tumor	sulba	jwuw,cul	toum		$x_1$ is a tumor of/on/in body part $x_2-3*$ of creature $x_3$	Not necessarily cancerous.  Use -cul if the whole part is swollen.
p		3.2.7,4.3.1	egg,sperm	eg	!dan	ov.um	negda		vdan		$x_1$ is an egg of $x_2:*$	Use -vdan |vyl for sperm.
t		3.3.0	Materials	-	-	-			330			Most materials have the form (xo) X1 is a serving or portion of (material).
t		3.3.1	Common Chemical Elements	-	-	-			331			Use -kmy -fn -X, where X is the Latin name of the element, for elements not in this category.
p		3.3.1	aluminum	alumynum	|lu		lalmi		jynu		(xo) $x_1$ is some aluminum	
p		3.3.1	chlorine	klorin	!lu		clori		klor		(xo) $x_1$ is some chlorine	
p		3.3.1	lead	led	-cian	plumb.um	pubmu		plum		(xo) $x_1$ is some lead	
p		3.3.1	iron	yrn	|tie	fer.um	fernu		fern		(xo) $x_1$ is some iron	
p		3.3.1	magnesium	magnizi#m	/mei		magne		gnim		(xo) $x_1$ is some magnesium	
p		3.3.1	hydrogen	haidrojen	-qyw	-	hidro		kqyw		(xo) $x_1$ is some hydrogen	
p		3.3.1	oxygen	aksyjn	|iaw		loksi		jiaw		(xo) $x_1$ is some oxygen	
p		3.3.1	phosphorus	fasfor#s	/liw		loksi		forw		(xo) $x_1$ is some phosphorus	
p		3.3.1	silver	sylvr	/in	argent.um	sagla		gnyr		(xo) $x_1$ is some silver	
p		3.3.1	calcium	kalsi#m	!gai		calsi		gaim		(xo) $x_1$ is some calcium	
p		3.3.1	silicon	sylykn	-qi		silco		syny		(xo) $x_1$ is some silicon	
p		3.3.1	sulfur	s#lfr	/liou/huaw	sulfur	sulfa		slul		(xo) $x_1$ is some sulfur	
p		3.3.1	copper	kapr	/tuw	aes	cupri		twuw		(xo) $x_1$ is some copper	
p		3.3.1	tin	tyn	-si	stan.um	snatu		styn		(xo) $x_1$ is some tin	
p		3.3.1	sodium	sodi#m	!na		nadri		somo		(xo) $x_1$ is some sodium	
p		3.3.1	potassium	patasi#m	|jia		kalium		psim		(xo) $x_1$ is some potassium	
p		3.3.1	nitrogen	naitrojen	!dan		nitro		jnan		(xo) $x_1$ is some nitrogen	
p		3.3.1	titanium	taitanyum	!tai		titna		tiai		(xo) $x_1$ is some titanium	
p		3.3.1	carbon	karbon	!tan	karbo	carbo		karo		(xo) $x_1$ is some carbon	
p		3.3.1	gold	gold	-jin	aur.um	galru		jiol		(xo) $x_1$ is some gold	
r		3.3.1,3.4.3,3.6.1,1.5.6	chemical,pure	kemykl	/tsu#n!du		kemdi		kmy		(xo) $x_1$ is a chemically pure instance of substance (xo) $x_2*$	Add by metaphor the scientific Latin name of an element or compound with no \guaspi\  word.
t		3.3.2	Inorganic Compounds and Mixtures	-	-	-			332			
p		3.3.2	chalk	calk	|fen|bi	kreta	tokri		cfen		(xo) $x_1$ is some chalk	-stil -cfen for chalk writing stick.
p		3.3.2	steel	stil	-gaw	calibs	gasti		cail		(xo) $x_1$ is some steel with major element for alloy (xo) $x_2*$	
p		3.3.2	water	uatr	|quei	akua	cutri		kqua		(xo) $x_1$ is some water	
p		3.3.2	ceramic	seramik	/tau!ci		staku*		tami		(xo) $x_1$ is some ceramic	
p		3.3.2	air	er	-kuw!ci	air	kerti		fcir		(xo) $x_1$ is some air	
p		3.3.2	rock,stone	rak	/qr-tou	saks.um	troku		kqou		(xo) $x_1$ is some stone, rock	
p		3.3.2	clay	klai	/ni|tu	argila	kliti*		glai		(xo) $x_1$ is some clay	
p	12	3.3.2	metal	metl	|u-jin	metal.um	metli		tlme		(xo) $x_1$ is some metal	
p		3.3.2	soil,dirt	drt	|tu!di	sol.um	dertu	jrer	tuol		(xo) $x_1$ is some soil or dirt	
p		3.3.2	glass	glas	-buo-li	vytr.um	gliso		vyol		(xo) $x_1$ is some glass	Use -qkul |vyol for a glass drinking cup.
p		3.3.2	brass	bras	/huaw/tow	orycalk.um	rasto		tora		(xo) $x_1$ is some brass	Copper-zinc alloy.
p		3.3.2	bronze	bronz	-cyw/tuw	ahene.us	ransu*		cywu		(xo) $x_1$ is some bronze	Copper-tin alloy.
p		3.3.2	sand	sand	-qa	harena	sanca		snan		(xo) $x_1$ is some sand	
p		3.3.2,3.6.1	ammonia	amonia	-an				cani		(xo) $x_1$ is some ammonia	
p		3.3.2,4.3.5	salt	salt	/ian	sal	solte		psal		(xo) $x_1$ is some salt, NaCl	-zao -psal for tastes salty.
t		3.3.3	Organic Compounds and Mixtures	-	-	-			333			
p		3.3.3	oil,grease,mucus,lubricate	oil	-ji/iou	lubryk.o		deri,trou	joil		(xo) $x_1$ is some lubricant for making surface $x_2*$ slippery	In animals often a polysaccharide solution (mucus), also used to flush out or immobilize predators or vermin.
p		3.3.3	oil,petroleum	petrole#m	!ci/iou		ctile*	joil	trou		(xo) $x_1$ is some petroleum	
p		3.3.3	tar	tar	/buo/iou	pyks	tarla*		pyuo		(xo) $x_1$ is some tar	
p		3.3.3	urine	iuryn	!niau		pinca		qniu		(xo) $x_1$ is some urine of creature $x_2*$	
p		3.3.3	coal	kol	/mei	karbo	kolme		krol		(xo) $x_1$ is some coal	
p		3.3.3	sputum,spit	spyt	|kou|quei	veru	spetu		veue		(xo) $x_1$ is some spit, sputum from creature $x_2*$	Use -dou !kque for expectorate.
p		3.3.3	cork	kork	-sai.-dz	korteks	korka		skor		(xo) $x_1$ is some cork	
p		3.3.3	wax,olefin	uaks	!la	kera	lakse		qker		(xo) $x_1$ is some wax	Includes propane, butane, etc.  -qker -kem !zbon |pa for specific chain length.
q		3.3.3	alcohol	alkohol	|jio-jiw		xalka*		qko		(xo) $x_1$ is a portion of alcohol	-qko -kem !zbon |pa for specific chain length (propanol, etc.)
p		3.3.3	feces,shit	qyt	|s#	sterk.us	ctuda		ster		(xo) $x_1$ is some shit, feces of creature $x_2*$	
p		3.3.3	wood	u#d	!mu!liau	lign.um	mubre		gliu		(xo) $x_1$ is some wood of tree (xo) $x_2*$	
t		3.3.4	Artificial Materials	-	-	-			334			
p		3.3.4	rubber	r#br	!qu-jiau		ckabu	tsi	bria		(xo) $x_1$ is some rubber	
p		3.3.4	paper	paipr	|jr	carta	papre		crar		(xo) $x_1$ is some paper	
p		3.3.4	paste,glue	paist	!jiaw-hu	gluten	pasti	tye	glue		(xo) $x_1$ is some glue or paste	
p		3.3.4	paint	paint	/iou-ci	pyng.ere	pinti		pnyn		(xo) $x_1$ is some paint	Color example: -pnyn |vba = white paint.
p		3.3.4	plastic	plastyk	!su-jiau		slasi*		plau		(xo) $x_1$ is some plastic	
p		3.3.4	ink	ynk	!m#|quei	atrament.um	tinmo		qeme		(xo) $x_1$ is some ink	
p		3.3.4	soap	sop	/fei!dzau	sapo	dzaso		spom		(xo) $x_1$ is some soap	
p		3.3.4	polish	palyq	-tsa	pol.yre	palci		spol		(xo) $x_1$ is some polish	For making things clean and shiny.
p		3.3.4	cardboard	kardbord	!iw|j|ban		karto		baor		(xo) $x_1$ is a piece of cardboard	
p		3.3.4	fuel	fiuel	/ran!liau	lygna	livla*		fliu		(xo) $x_1$ is some fuel for powering engine (xi) $x_2*$	
p		3.3.4,4.1.7	pelt,hide,leather	pelt	/pi	kory.um	pelpi	fpyl,skyn	kory		$x_1$ is a pelt, cured hide or piece of leather from animal $x_2*$	
q		3.3.4,4.1.7	cloth	klot	!bu	tekst.um	klabu		xbu		(xo) $x_1$ is some cloth of material (xo) $x_2*$	
p		3.3.4,4.3.5	grease,fat	gris	/iou	adeps	gresa	tfa,joil	deri		(xo) $x_1$ is some grease	Liquid or solid, eaten or used to prepare food.  Use -joil for lubrication.
t		3.3.5	Forms of Materials	-	-	-			335			
p		3.3.5	smoke	smok	-ian	fum.us	smano		smom		(xo) $x_1$ is some smoke from emitter (vo) $x_2+$	
p		3.3.5	dust	d#st	/cen	pulv.ys	dustu	pul	cene		(xo) $x_1$ is some dust	
p		3.3.5	vacuum	vakium	-jen-kuw	vaku#m	sakci*	swu	jeum		(xo) $x_1$ is a portion of vacuum	Specifically free of air.
p		3.3.5	ore,mineral	men#r#l	!kuaw!u	aes	minku		kmen		(xo) $x_1$ is some mineral or ore of product (xo) $x_2*$	E.g. -kmen -gnyr = silver ore.
r		3.3.5	powder	paudr	|fen	pulv.ys	pudru	cene	pul		(xo) $x_1$ is some powder of substance (xo) $x_2*$	
r		3.3.5	foam,froth	fom	!pau!muo	spuma	fonmo*		pum		(xo) $x_1$ is a foam or froth of substance (xo) $x_2*$ inflated with gas (xo) $x_3$	
p		3.3.5	ice	ais	-biw	glaki.es	bisli		gaiw		(xo) $x_1$ is some ice, frozen liquid (xo-kqua) $x_2*$	For materials that are normally liquid or gas.
r		3.3.5	solution	s#luqn	/ruw!ie	solut.yo	runta*		slu		(xo) $x_1$ is a solution in solvent (xo-kqua) $x_2$ of solute (xo) $x_3*=$ repeated as needed	But only X3 compounds.  
p		3.3.5	precipitate	presypytait	/ts#n!dien		sicpi*		teie		(xo) $x_1$ is a precipitate from solution (xo) $x_2$	
r		3.3.5,1.5.1	material	matiri#l	/tsai!liau	matery.es	ctifu		tli		$x_1$ is made of material (xo) $x_2$	
q		3.3.5,3.4.2	liquid	lykuyd	!i|ti	lykuor	flidu		kql		(xo) $x_1$ is some liquid which freezes at temperature (xu) $x_2$ and boils at temperature (xu) $x_3$	
q		3.3.5,3.4.2	solid	salyd	!gu|ti	solyd.us	saldi		psl		(xo) $x_1$ is a serving of solid below temperature (xu) $x_2$	
q		3.3.5,3.4.2	gas,vapor	gas	!ci	vapor	vapro		xga		(xo) $x_1$ is a serving of gas, vapor above temperature (xu) $x_2$	
t		3.4.0	Physics and Meteorology	-	-	-			340			
t		3.4.1	Static Phenomena and Shapes	-	-	-			341			
r		3.4.1	drop	drap	-di	guta	drida		dra		$x_1$ is a drop of liquid (xo) $x_2*$	
r		3.4.1	scratch	skratc	-gua	skab.ere	kraju		kra		$x_1$ is a scratch in surface $x_2*$	
q		3.4.1	crystal	krystl	!tou/miw	krystal.us	krili*		ksl		$x_1$ is a crystal of chemical (xo) $x_2*$	
r		3.4.1	pile,mountain	pail	-duei	stru.es	monca		pil		$x_1$ is a pile of stuff (xo) $x_2*$	Use -pil -kqou for mountain.
q		3.4.1	hole,depress	hol	!duw	kav.um	holdu		qka		$x_1$ is a hole or depression in surface $x_2*$	-qka -pne is required for a penetrating hole.
q		3.4.1	space	spais	-kuw-jian		spasi	cme,tera,jomu	spa		(xo) $x_1$ is a region of space	That which stars and planets are in.
p		3.4.1	block	blok	|kuai	styp.es	blaku*	bryr	kuai		$x_1$ is a block made of material (xo) $x_2$	Generally rectangular solid piece.
r		3.4.1	rhythm	rytm	/suan!liu	mod.us	rinta		tmo		$x_1$ is a rhythm of process $x_2*$	
r		3.4.1	store,reserve,deposit	stor	/tsun	kopya	sordi		tor		(xe) $x_1$ is a store, reserve, deposit of goods (xo) $x_2*$	May be natural (of minerals) or artificial (of goods or money).
p		3.4.1	electricity	ilektryk	!dian		lenki		tyil		(xo) $x_1$ is some electricity in conductor $x_2*$	
p		3.4.1	bead,pebble	bid	/qr.-dz	baka	bidju*		biwi		$x_1$ is a bead made of material (xo) $x_2$	Includes natural pebbles.  Small, roundish, may have a hole.
q		3.4.1	crack	krak	!lie/uen	ryma	karku		zge		$x_1$ is a crack in surface $x_2*$	
t		3.4.2	Energetic Phenomena	-	-	-			342			
q		3.4.2	ray	rai	-guaw!sian	rady.us	kreni		bza		$x_1$ is a ray from emitter $x_2*$	Mainly for subatomic particles but including null particles like photons.
q		3.4.2	flame,fire	flaim	|huo/ian	flama	flami	zbr	cfl		$x_1$ is a flame from apparatus or fire $x_2*$	
q		3.4.2	sound	saund	-qew-in	son.us	sonda	sau,tia	fsn		(xo) $x_1$ is sound from emitter (vo) $x_2+$	Bell ringing: ^fsn !qkm !tfel, not csn =tynl.
q		3.4.2	wave	uav	!law	unda	valpu		dvu		$x_1$ is a wave in medium $x_2*$	
q		3.4.2	jet	jet	-p#n!qe	gagat.es	jetce*		pqe		$x_1$ is a jet of material (xo) $x_2*$	X2 is flowing through space in a narrow stream.
r		3.4.2	shade,light,shadow	qado	|iw.-dz	umbra	cedzu		qao		$x_1$ is shade, the shadow of object $x_2*$ from light $x_3$	
q		3.4.2	tide	taid	/cau|quei	aest.us	ctaru*		qca		$x_1$ is a tide in sea $x_2$ raised by planet $x_3$	X2 is typically the sea; X3 then is the sun or moon.
q		3.4.2	light,lamp	lait	-guaw	luks	litla	xgm	skl		(xo) $x_1$ is light from source or lamp $x_2*$ on surface $x_3$	
r		3.4.2	magnet	magnet	-qi|tie	magn.es	maksi*		tma		object $x_1$ interacts with object $x_2$ by magnetism	
q		3.4.2	fire,fuel	fair	|huo	ygn.ys	fagro	zbr	xgn		$x_1$ is a fire in fuel $x_2*$	X2 may be an object like a house.  Use -cfl for lanterns, etc.
t		3.4.3	Physical Abstractions	-	-	-			343			
q		3.4.3	matter	matr	!u/ji	korp.us	ctifu	qcy	ftr		(xo) $x_1$ is matter	Use -qcy for ``what's the matter''.
q		3.4.3	physical	fyzikal	!dz/ran!jie	fisyka	fizdi		kfi		(vo) $x_1$ is a physical phenomenon	As opposed to mental or spiritual.
q		3.4.3	object,thing	tyw	!u/jr	res	bekti		psr		$x_1$ is a thing or object	
q		3.4.3	phenomenon,nature	naitcr	!di!qr	natural.ys	natra	fkr	qcr		(vo) $x_1$ is a natural phenomenon	As opposed to magic.
q		3.4.3,1.1.3	atom,molecule,cell	atom	/uen.-dz	korpuskul.um	ratni*		psu		$x_1$ is an atom of substance (xo) $x_2$	Any indivisible building block; includes living cells.  X2 is the material or species.
r		3.4.3,3.5.6,1.4.4	interval,time	yntrvl	-jian/g#	ynterval.um	ckemo	swa	gyn		$x_1$ is the time interval from event (vo) $x_2@$ to event (vo) $x_3@$	Neither one merges.
q		3.4.3,4.4.5	artifact	artyfakt	/ren-guw	arte	ritna*	qcr	fkr		$x_1+$ is made, done or caused by people	
q		3.4.3,4.4.5	fact,science	saiens	-k#/que	skyentya	sensi		ske		(vo) $x_1$ is a scientific fact	
t		3.4.4	Weather Phenomena	-	-	-			344			
p		3.4.4	thunder	tundr	/lei	tonytr.us	ledri		tony		$x_1$ is thunder	
q		3.4.4	weather	uetr	-tian!ci	kael.um	tetri		tfe		$x_1$ is a weather phenomenon	
p		3.4.4	lightning	laitnyw	|qan!dian	fulmen	bolti		diny		$x_1$ is lightning	
p		3.4.4	wind	uynd	-f#w	vent.us	brize		vnyn		$x_1$ is a wind from direction (xi) $x_2*$	Blows from X2 (north, etc., also can be a place) to its opposite.
p		3.4.4	cloud	klaud	/iun	nub.es	klada		kunu		$x_1$ is a cloud of substance (xo-kqua) $x_2$	
r		3.4.4,2.2.6	hail	hail	/bau	grando	bratu*		bau		(xo) $x_1$ falls like hail on surface $x_2$ from cloud $x_3$ via route $x_4$	Hail is solid rain.
r		3.4.4,2.2.6	rain	rain	|u	pluvya	crina		ply		$x_1$ falls as rain on surface $x_2$ from cloud $x_3$ via route $x_4$	Use -dra -ply = raindrop.
p		3.4.4,3.3.2,2.2.6	snow	sno	|sue	nyks	snice		ksny		$x_1$ falls as snow on surface $x_2$ from cloud $x_3$ via route $x_4$	Snow is fluffy ice crystals.
q		3.4.4,3.3.5	fog	fag	!u	nebula	fragu		vbu		$x_1$ is a fog of material (xo) $x_2*$	Typically water.
t		3.5.0	Places and Seasons	-	-	-			350			X2 of a place is usually either a larger structure containing it or a more general place where it is located.
t		3.5.1	Natural Places on a Planet	-	-	-			351			
p		3.5.1	river,basin,drain	ryvr	/h#	flumen	vrici		gvry		$x_1$ is a river draining basin $x_2$	
p		3.5.1	land,region	land	|tu!di	tera	landi		tera		$x_1$ is a piece of land in region $x_2$	
p		3.5.1	field,farm	fild	/tian!di	ager	fildi		diar		$x_1$ is a field of farm $x_2$	
p		3.5.1	lake	laik	/hu	lak.us	vlako		kqla		$x_1$ is a lake in region $x_2$	
p		3.5.1	bay,coast	bai	|hai-uan	sayn.us	banbe		biai		$x_1$ is a bay on coast $x_2$	
p		3.5.1	island	ailand	|dau	ynsula	cilda		dlau		$x_1$ is an island in sea $x_2$	
p		3.5.1	sea	si	|hai	mare	mursi		sima		$x_1$ is a sea of planet $x_2$	
p		3.5.1,3.4.4	sky	skai	-tian	kael.um	skati		skai		$x_1$ is the sky of planet $x_2$	
p		3.5.1,4.2.8	cave	kav	!duw	kaverna	kuvla		qkae		$x_1$ is a cave in region $x_2$	
t		3.5.2	Celestial and Miscellaneous Places	-	-	-			352			
p		3.5.2	satellite,moon	mun	!uei-qyw	luna	lunra		qyun		$x_1$ is a satellite of primary body $x_2$	Typically Earth's Moon.  -qo -:luna is the formal name of Earth's moon.
p		3.5.2	universe,cosmos	kosm#s	|iu!jou	mund.us	munje*	spa	jomu		$x_1$ is the universe	
p		3.5.2	homeworld,earth	rt	!qr!jie	tera	terla	tuol	jrer		$x_1$ is the homeworld of person (ji) $x_2$	Typically Earth.  -qo -tera is the formal name for Earth.
p		3.5.2	star,galaxy	star	-qiw	stela	tarci		star		$x_1$ is a star in galaxy $x_2$	
p		3.5.2	planet,star,sun	planet	-siw	stela	solra		stel		$x_1$ is a planet orbiting star $x_2$	Typically Earth's Sun.  -qo -sol is the formal name for the Sun.
r		3.5.2	environment	environment	/huan!jiw		vanbi*		vni		$x_1$ is the environment of event (vo) $x_2+$	
p		3.5.2,3.6.2	territory	terytori	|tu!di	fin.es	tutra*	jiwe	tein		$x_1$ is a place in the territory of creature $x_2*$	Use -xy to get the whole territory.
r		3.5.2,3.6.2	habitat	habytat	-ju/lio!di				juo		$x_1$ is a place in the habitat of species (xr) $x_2s*$	Use -xy to get whole habitat.
t		3.5.3	Human Work Places	-	-	-			353		$x_1:$ is a place of significance $x_2$ at locality $x_3$	
p		3.5.3	office,station	afys	!ban-guw!qr	taberna	fusto		barn		$x_1$ is the office or duty station of worker $x_2$	Use -zu -toa for office in the sense of a government position.
p		3.5.3	factory,mill	faktori	-guw|caw	fabryka	molci		fary		$x_1$ is a mill, factory where product (xo) $x_2*$ is made, at $x_3:$	
p		3.5.3	post~office	post-afys	/iou!jew/ju	tabelarii	posta		taio		$x_1$ is a post office of locality $x_2$	
p		3.5.3	bank,financial	bank	/in/haw	argentarya	banko		bana		$x_1$ is a financial institution of locality $x_2$	Not for river banks.
